gene,gene_type,sum,prop
mcr-9.1,chromosome,5,0.00510204081632653
aac(3)-IV,chromosome,4,0.004081632653061225
blaCMY,chromosome,4,0.004081632653061225
blaHER-3,chromosome,4,0.004081632653061225
blaHERA-3,chromosome,4,0.004081632653061225
blaTEM-102,chromosome,4,0.004081632653061225
blaTEM-106,chromosome,4,0.004081632653061225
blaTEM-135,chromosome,4,0.004081632653061225
cmlA,chromosome,4,0.004081632653061225
cmlA5,chromosome,4,0.004081632653061225
dfrA36,chromosome,4,0.004081632653061225
dfrA8,chromosome,4,0.004081632653061225
IncX9,plasmid,4,0.004081632653061225
lnu(G),chromosome,4,0.004081632653061225
sul24,chromosome,4,0.004081632653061225
aadA7,chromosome,3,0.003061224489795918
arr-2,chromosome,3,0.003061224489795918
blaCARB-2,chromosome,3,0.003061224489795918
blaTEM-141,chromosome,3,0.003061224489795918
IncI2,plasmid,3,0.003061224489795918
oqxB,chromosome,3,0.003061224489795918
pENTAS02,plasmid,3,0.003061224489795918
rep134_rep(pPI2),plasmid,3,0.003061224489795918
aac(3)-Ib-aac(6')-Ib',chromosome,2,0.0020408163265306124
aac(3)-IIg,chromosome,2,0.0020408163265306124
aac(6')-Ib3,chromosome,2,0.0020408163265306124
aph(3')-IIb,chromosome,2,0.0020408163265306124
armA,chromosome,2,0.0020408163265306124
arsB-mob,chromosome,2,0.0020408163265306124
blaA_Mtub,chromosome,2,0.0020408163265306124
blaCMY-107,chromosome,2,0.0020408163265306124
blaCMY-130,chromosome,2,0.0020408163265306124
blaCTX-M,chromosome,2,0.0020408163265306124
blaCTX-M-32,chromosome,2,0.0020408163265306124
blaI_of_Z,chromosome,2,0.0020408163265306124
blaLAP-2,chromosome,2,0.0020408163265306124
blaROB-1,chromosome,2,0.0020408163265306124
blaTEM-101,chromosome,2,0.0020408163265306124
blaTEM-12,chromosome,2,0.0020408163265306124
blaTEM-1D,chromosome,2,0.0020408163265306124
Col3M,plasmid,2,0.0020408163265306124
crpP,chromosome,2,0.0020408163265306124
dfrA16,chromosome,2,0.0020408163265306124
IncFII(pAMA1167-NDM-5)_pAMA1167-NDM-5,plasmid,2,0.0020408163265306124
IncX2,plasmid,2,0.0020408163265306124
mef(C),chromosome,2,0.0020408163265306124
mph(G),chromosome,2,0.0020408163265306124
oqxB9,chromosome,2,0.0020408163265306124
qnrS2,chromosome,2,0.0020408163265306124
A7J112581,chromosome,1,0.0010204081632653062
aac(3)-Ic,chromosome,1,0.0010204081632653062
aac(6')-Ib-AKT,chromosome,1,0.0010204081632653062
aadA10,chromosome,1,0.0010204081632653062
aadA13,chromosome,1,0.0010204081632653062
aadA15,chromosome,1,0.0010204081632653062
blaA,chromosome,1,0.0010204081632653062
blaBIL-1,chromosome,1,0.0010204081632653062
blaCFE-1,chromosome,1,0.0010204081632653062
blaCMY-113,chromosome,1,0.0010204081632653062
blaCMY-14,chromosome,1,0.0010204081632653062
blaCMY-40,chromosome,1,0.0010204081632653062
blaCMY-42,chromosome,1,0.0010204081632653062
blaCMY-50,chromosome,1,0.0010204081632653062
blaCTX-M-101,chromosome,1,0.0010204081632653062
blaCTX-M-103,chromosome,1,0.0010204081632653062
blaCTX-M-116,chromosome,1,0.0010204081632653062
blaCTX-M-138,chromosome,1,0.0010204081632653062
blaCTX-M-158,chromosome,1,0.0010204081632653062
blaCTX-M-65,chromosome,1,0.0010204081632653062
blaI,chromosome,1,0.0010204081632653062
blaOXA-10,chromosome,1,0.0010204081632653062
blaOXA-114g,chromosome,1,0.0010204081632653062
blaOXA-364,chromosome,1,0.0010204081632653062
blaOXA-395,chromosome,1,0.0010204081632653062
blaOXA-60,chromosome,1,0.0010204081632653062
blaOXA-60b,chromosome,1,0.0010204081632653062
blaOXA-787,chromosome,1,0.0010204081632653062
blaPAO,chromosome,1,0.0010204081632653062
blaPC1,chromosome,1,0.0010204081632653062
blaPDC-113,chromosome,1,0.0010204081632653062
blaR1,chromosome,1,0.0010204081632653062
blaROB,chromosome,1,0.0010204081632653062
blaROB-2,chromosome,1,0.0010204081632653062
blaTEM-112,chromosome,1,0.0010204081632653062
blaTEM-185,chromosome,1,0.0010204081632653062
blaTEM-32,chromosome,1,0.0010204081632653062
blaTEM-33,chromosome,1,0.0010204081632653062
blaTEM-34,chromosome,1,0.0010204081632653062
blaTEM-76,chromosome,1,0.0010204081632653062
blaZ,chromosome,1,0.0010204081632653062
blaZ01,chromosome,1,0.0010204081632653062
blaZ8,chromosome,1,0.0010204081632653062
cml,chromosome,1,0.0010204081632653062
cmlA6,chromosome,1,0.0010204081632653062
Col(KPHS6),plasmid,1,0.0010204081632653062
Col(Ye4449),plasmid,1,0.0010204081632653062
dfrA15,chromosome,1,0.0010204081632653062
dfrA23,chromosome,1,0.0010204081632653062
dfrA34,chromosome,1,0.0010204081632653062
erm(37),chromosome,1,0.0010204081632653062
erm(42),chromosome,1,0.0010204081632653062
erm(F),chromosome,1,0.0010204081632653062
fosA3,chromosome,1,0.0010204081632653062
IncFII(pMET)_pMET1,plasmid,1,0.0010204081632653062
IncL/M,plasmid,1,0.0010204081632653062
IncL/M(pMU407)_pMU407,plasmid,1,0.0010204081632653062
IncL/M(pOXA-48)_pOXA-48,plasmid,1,0.0010204081632653062
IncP6,plasmid,1,0.0010204081632653062
oqxB12,chromosome,1,0.0010204081632653062
oqxB15,chromosome,1,0.0010204081632653062
otr(A),chromosome,1,0.0010204081632653062
penA-A_Burk,chromosome,1,0.0010204081632653062
penI_Bp,chromosome,1,0.0010204081632653062
pSL483,plasmid,1,0.0010204081632653062
qnrB10,chromosome,1,0.0010204081632653062
qnrB2,chromosome,1,0.0010204081632653062
qnrVC4,chromosome,1,0.0010204081632653062
rep210_p020(pLGA251),plasmid,1,0.0010204081632653062
rep217_rep(pLNU8),plasmid,1,0.0010204081632653062
rep219_rep(pLNU7),plasmid,1,0.0010204081632653062
rep7a_rep(pKH7),plasmid,1,0.0010204081632653062
rep7a_repD(pK214),plasmid,1,0.0010204081632653062
rep7b_rep(pVGA),plasmid,1,0.0010204081632653062
repUS43_CDS12738(DOp1),plasmid,1,0.0010204081632653062
rmtB,chromosome,1,0.0010204081632653062
rmtB1,chromosome,1,0.0010204081632653062
rph,chromosome,1,0.0010204081632653062
smr,chromosome,1,0.0010204081632653062
spw,chromosome,1,0.0010204081632653062
sul19,chromosome,1,0.0010204081632653062
sul28,chromosome,1,0.0010204081632653062
tet(H),chromosome,1,0.0010204081632653062
