gene,gene_identifier,card_id,gene_name_family_desc,gene_name_family,gene_type,resistance_class,resistance_drug,combo
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA12 streptomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA12 streptomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA12 spectinomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA12 spectinomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA12 spectinomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA12 spectinomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA12 spectinomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA12 streptomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA12 streptomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA12 streptomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA12 streptomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA12 streptomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA12 spectinomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA12 spectinomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA12 spectinomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA12 spectinomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA12 spectinomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA12 streptomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA12 streptomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA12 streptomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA12 streptomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA12 streptomycin
aadA15,aadA15,aadA15,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA15 spectinomycin
aadA15,aadA15,aadA15,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA15 spectinomycin
aadA15,aadA15,aadA15,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA15 spectinomycin
aadA15,aadA15,aadA15,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA15 spectinomycin
aadA15,aadA15,aadA15,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA15 spectinomycin
aadA15,aadA15,aadA15,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA15 streptomycin
aadA15,aadA15,aadA15,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA15 streptomycin
aadA15,aadA15,aadA15,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA15 streptomycin
aadA15,aadA15,aadA15,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA15 streptomycin
aadA15,aadA15,aadA15,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA15 streptomycin
aadA17,aadA17,aadA17,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA17 spectinomycin
aadA17,aadA17,aadA17,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA17 spectinomycin
aadA17,aadA17,aadA17,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA17 spectinomycin
aadA17,aadA17,aadA17,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA17 spectinomycin
aadA17,aadA17,aadA17,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA17 spectinomycin
aadA17,aadA17,aadA17,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA17 streptomycin
aadA17,aadA17,aadA17,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA17 streptomycin
aadA17,aadA17,aadA17,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA17 streptomycin
aadA17,aadA17,aadA17,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA17 streptomycin
aadA17,aadA17,aadA17,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA17 streptomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA2 spectinomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA2 spectinomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA2 spectinomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA2 spectinomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA2 spectinomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA2 streptomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA2 streptomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA2 streptomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA2 streptomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA2 streptomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA2 spectinomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA2 spectinomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA2 spectinomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA2 spectinomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA2 spectinomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA2 streptomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA2 streptomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA2 streptomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA2 streptomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA2 streptomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA2 spectinomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA2 spectinomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA2 spectinomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA2 spectinomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA2 spectinomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA2 streptomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA2 streptomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA2 streptomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA2 streptomycin
aadA2,aadA2,aadA2,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA2 streptomycin
